Debug results for cursor_motion:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)
 3334143.000 0.994531250000        784         182.86
 3411967.000 0.995312500000        785         213.33
 3411967.000 0.996093750000        785         256.00
 3434495.000 0.996484375000        786         284.44
 3434495.000 0.996875000000        786         320.00
 3434495.000 0.997265625000        786         365.71
 3583999.000 0.997656250000        787         426.67
 3583999.000 0.998046875000        787         512.00
 3583999.000 0.998242187500        787         568.89
 3583999.000 0.998437500000        787         640.00
 3583999.000 0.998632812500        787         731.43
 3649535.000 0.998828125000        788         853.33
 3649535.000 1.000000000000        788
#[Mean    =  2980736.650, StdDeviation   =   109534.012]
#[Max     =  3649535.000, Total count    =          788]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling_top_region
Debug results for scrolling_top_region:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

52756479.000 0.000000000000          1           1.00
53444607.000 0.100000000000         18           1.11
53739519.000 0.200000000000         36           1.25
53936127.000 0.300000000000         53           1.43
54231039.000 0.400000000000         71           1.67
54493183.000 0.500000000000         90           2.00
54525951.000 0.550000000000         98           2.22
54722559.000 0.600000000000        106           2.50
54820863.000 0.650000000000        115           2.86
54984703.000 0.700000000000        122           3.33
55214079.000 0.750000000000        130           4.00
55476223.000 0.775000000000        135           4.44
55640063.000 0.800000000000        139           5.00
55967743.000 0.825000000000        144           5.71
56098815.000 0.850000000000        148           6.67
56426495.000 0.875000000000        152           8.00
56852479.000 0.887500000000        154           8.89
57049087.000 0.900000000000        156          10.00
57245695.000 0.912500000000        158          11.43
57376767.000 0.925000000000        161          13.33
57671679.000 0.937500000000        163          16.00
57868287.000 0.943750000000        164          17.78
58130431.000 0.950000000000        165          20.00
58195967.000 0.956250000000        166          22.86
58425343.000 0.962500000000        167          26.67
58589183.000 0.968750000000        168          32.00
58949631.000 0.971875000000        169          35.56
58949631.000 0.975000000000        169          40.00
59015167.000 0.978125000000        170          45.71
59015167.000 0.981250000000        170          53.33
59473919.000 0.984375000000        171          64.00
59473919.000 0.985937500000        171          71.11
59473919.000 0.987500000000        171          80.00
59572223.000 0.989062500000        172          91.43
59572223.000 0.990625000000        172         106.67
59572223.000 0.992187500000        172         128.00
59572223.000 0.992968750000        172         142.22
59572223.000 0.993750000000        172         160.00
59604991.000 0.994531250000        173         182.86
59604991.000 1.000000000000        173
#[Mean    = 54796714.173, StdDeviation   =  1427009.541]
#[Max     = 59604991.000, Total count    =          173]
#[Buckets =           20, SubBuckets     =         2048]



100% [------------------------------------------------------------] ETA: 00:00:00 | :scrolling_top_small_region
Debug results for scrolling_top_small_region:

Time (wall clock):
       Value     Percentile TotalCount 1/(1-Percentile)

48726015.000 0.000000000000          2           1.00
48889855.000 0.100000000000         20           1.11
49020927.000 0.200000000000         40           1.25
49151999.000 0.300000000000         58           1.43
49315839.000 0.400000000000         77           1.67
49479679.000 0.500000000000         96           2.00
49610751.000 0.550000000000        107           2.22
49709055.000 0.600000000000        116           2.50
49840127.000 0.650000000000        123           2.86
50003967.000 0.700000000000        135           3.33
50233343.000 0.750000000000        142           4.00
50429951.000 0.775000000000        148           4.44
50659327.000 0.800000000000        152           5.00
50724863.000 0.825000000000        157           5.71
50954239.000 0.850000000000        162           6.67
51380223.000 0.875000000000        166           8.00
51740671.000 0.887500000000        168           8.89
52101119.000 0.900000000000        171          10.00
53149695.000 0.912500000000        173          11.43
53542911.000 0.925000000000        175          13.33
53673983.000 0.937500000000        178          16.00
53706751.000 0.943750000000        179          17.78
53739519.000 0.950000000000        181          20.00
53739519.000 0.956250000000        181          22.86
